block1,block2,block3,block4,block5,block6,block7,total_compute_time,total_comm_time,total_inference_time
E1,E1,E1,E1,E1,E1,E1,0.3793333333333333,0.034576,0.4139093333333333
E1,E1,E1,E1,E1,E1,E2,0.37906666666666666,0.035608768000000006,0.4146754346666667
E1,E1,E1,E1,E1,E1,E3,0.37906666666666666,0.036641536,0.41570820266666664
E1,E1,E1,E1,E1,E1,C,0.3789166666666666,0.069918336,0.44883500266666665
E1,E1,E1,E1,E1,E2,E1,0.3585333333333333,0.037411584000000005,0.3959449173333333
E1,E1,E1,E1,E1,E2,E2,0.3582666666666667,0.036378816,0.39464548266666666
E1,E1,E1,E1,E1,E2,E3,0.3582666666666667,0.037411584000000005,0.3956782506666667
E1,E1,E1,E1,E1,E2,C,0.35811666666666664,0.07068838399999999,0.42880505066666663
E1,E1,E1,E1,E1,E3,E1,0.3585333333333333,0.040247168,0.3987805013333333
E1,E1,E1,E1,E1,E3,E2,0.3582666666666667,0.0392144,0.39748106666666666
E1,E1,E1,E1,E1,E3,E3,0.3582666666666667,0.038181632,0.3964482986666667
E1,E1,E1,E1,E1,E3,C,0.35811666666666664,0.07145843199999999,0.42957509866666665
E1,E1,E1,E1,E1,C,E1,0.3468333333333333,0.183805568,0.5306389013333334
E1,E1,E1,E1,E1,C,E2,0.3465666666666667,0.1827728,0.5293394666666666
E1,E1,E1,E1,E1,C,E3,0.3465666666666667,0.181740032,0.5283066986666667
E1,E1,E1,E1,E1,C,C,0.34641666666666665,0.148463232,0.49487989866666665
E1,E1,E1,E1,E2,E1,E1,0.30279999999999996,0.038984448000000005,0.34178444799999996
E1,E1,E1,E1,E2,E1,E2,0.3025333333333333,0.04001721600000001,0.34255054933333334
E1,E1,E1,E1,E2,E1,E3,0.3025333333333333,0.041049984000000005,0.3435833173333333
E1,E1,E1,E1,E2,E1,C,0.3023833333333333,0.074326784,0.37671011733333326
E1,E1,E1,E1,E2,E2,E1,0.282,0.03821440000000001,0.3202144
E1,E1,E1,E1,E2,E2,E2,0.28173333333333334,0.037181632000000006,0.31891496533333336
E1,E1,E1,E1,E2,E2,E3,0.28173333333333334,0.03821440000000001,0.3199477333333334
E1,E1,E1,E1,E2,E2,C,0.2815833333333333,0.0714912,0.3530745333333333
E1,E1,E1,E1,E2,E3,E1,0.282,0.041049984000000005,0.32304998399999996
E1,E1,E1,E1,E2,E3,E2,0.28173333333333334,0.04001721600000001,0.32175054933333336
E1,E1,E1,E1,E2,E3,E3,0.28173333333333334,0.038984448000000005,0.32071778133333334
E1,E1,E1,E1,E2,E3,C,0.2815833333333333,0.072261248,0.3538445813333333
E1,E1,E1,E1,E2,C,E1,0.2703,0.184608384,0.454908384
E1,E1,E1,E1,E2,C,E2,0.27003333333333335,0.183575616,0.45360894933333334
E1,E1,E1,E1,E2,C,E3,0.27003333333333335,0.18254284799999998,0.4525761813333333
E1,E1,E1,E1,E2,C,C,0.2698833333333333,0.14926604799999998,0.4191493813333333
E1,E1,E1,E1,E3,E1,E1,0.30279999999999996,0.043392896,0.34619289599999997
E1,E1,E1,E1,E3,E1,E2,0.3025333333333333,0.044425664000000004,0.34695899733333335
E1,E1,E1,E1,E3,E1,E3,0.3025333333333333,0.045458432,0.3479917653333333
E1,E1,E1,E1,E3,E1,C,0.3023833333333333,0.07873523199999999,0.38111856533333327
E1,E1,E1,E1,E3,E2,E1,0.282,0.042622848000000005,0.32462284799999996
E1,E1,E1,E1,E3,E2,E2,0.28173333333333334,0.04159008,0.32332341333333336
E1,E1,E1,E1,E3,E2,E3,0.28173333333333334,0.042622848000000005,0.3243561813333333
E1,E1,E1,E1,E3,E2,C,0.2815833333333333,0.075899648,0.3574829813333333
E1,E1,E1,E1,E3,E3,E1,0.282,0.0418528,0.3238528
E1,E1,E1,E1,E3,E3,E2,0.28173333333333334,0.040820032000000006,0.32255336533333334
E1,E1,E1,E1,E3,E3,E3,0.28173333333333334,0.039787264,0.3215205973333333
E1,E1,E1,E1,E3,E3,C,0.2815833333333333,0.073064064,0.3546473973333333
E1,E1,E1,E1,E3,C,E1,0.2703,0.1854112,0.4557112
E1,E1,E1,E1,E3,C,E2,0.27003333333333335,0.18437843199999998,0.45441176533333333
E1,E1,E1,E1,E3,C,E3,0.27003333333333335,0.183345664,0.4533789973333333
E1,E1,E1,E1,E3,C,C,0.2698833333333333,0.150068864,0.41995219733333333
E1,E1,E1,E1,C,E1,E1,0.25975,0.344237696,0.6039876959999999
E1,E1,E1,E1,C,E1,E2,0.25948333333333334,0.345270464,0.6047537973333333
E1,E1,E1,E1,C,E1,E3,0.25948333333333334,0.34630323199999996,0.6057865653333333
E1,E1,E1,E1,C,E1,C,0.2593333333333333,0.37958003199999996,0.6389133653333332
E1,E1,E1,E1,C,E2,E1,0.23895000000000002,0.343467648,0.5824176480000001
E1,E1,E1,E1,C,E2,E2,0.23868333333333336,0.34243488,0.5811182133333334
E1,E1,E1,E1,C,E2,E3,0.23868333333333336,0.343467648,0.5821509813333334
E1,E1,E1,E1,C,E2,C,0.23853333333333335,0.376744448,0.6152777813333333
E1,E1,E1,E1,C,E3,E1,0.23895000000000002,0.34269759999999994,0.5816475999999999
E1,E1,E1,E1,C,E3,E2,0.23868333333333336,0.341664832,0.5803481653333333
E1,E1,E1,E1,C,E3,E3,0.23868333333333336,0.34063206399999996,0.5793153973333334
E1,E1,E1,E1,C,E3,C,0.23853333333333335,0.37390886399999995,0.6124421973333333
E1,E1,E1,E1,C,C,E1,0.22725,0.26569279999999995,0.49294279999999996
E1,E1,E1,E1,C,C,E2,0.22698333333333334,0.264660032,0.4916433653333333
E1,E1,E1,E1,C,C,E3,0.22698333333333334,0.263627264,0.49061059733333334
E1,E1,E1,E1,C,C,C,0.22683333333333333,0.23035046399999998,0.4571837973333333
E1,E1,E1,E2,E1,E1,E1,0.3582666666666666,0.041392896,0.39965956266666663
E1,E1,E1,E2,E1,E1,E2,0.358,0.042425664,0.400425664
E1,E1,E1,E2,E1,E1,E3,0.358,0.043458432,0.401458432
E1,E1,E1,E2,E1,E1,C,0.35784999999999995,0.07673523199999999,0.43458523199999993
E1,E1,E1,E2,E1,E2,E1,0.33746666666666664,0.04422848,0.38169514666666665
E1,E1,E1,E2,E1,E2,E2,0.3372,0.043195712,0.380395712
